content,SENTIMEN
"['super', 'the', 'best', 'banget', 'dan', 'puas', 'belanja', 'di', 'shoppe']",positif
"['senang', 'berbelanja', 'di', 'shoope', 'tingkatkan', 'terus', 'pelayanannya']",positif
"['allahu', 'akbar', 'semoga', 'saya', 'dapat', 'mobil']",positif
"['sangat', 'bagus', 'untuk', 'semuanya']",positif
"['sangat', 'lemot']",negatif
"['nice', 'job']",positif
['jos'],positif
['josmantab'],positif
"['aplikasi', 'shopee', 'sangat', 'bermanfaat', 'sekali']",positif
"['belanja', 'jadi', 'lebih', 'mudahdari', 'jauh', 'bisa', 'memberi', 'hadiah', 'buat', 'keluarga']",positif
"['ui', 'serves', 'ampas']",negatif
"['shopee', 'mendukung', 'penjual-penjual', 'penipu', 'yg', 'sangat', 'merugikan', 'pembeli']",negatif
"['good', 'job']",positif
"['tingkat', 'keamanan', 'menyulitkan', 'pengguna', 'karna', 'kita', 'tidak', 'bisa', 'melakukan', 'transaksi', 'diakun', 'kita', 'sendiri', 'jika', 'terdeteksi', 'baru', 'login', 'diperangkat', 'baru', 'padahal', 'saya', 'sendiri', 'pemilik', 'akun', 'tsb', 'hanya', 'karna', 'saya', 'mereset', 'hp', 'saya', 'lalu', 'saya', 'tidak', 'bisa', 'melakukan', 'transaksi']",negatif
['trh'],negatif
"['sangat', 'membantu', 'buat', 'para', 'pejuang', 'rupiah']",positif
"['sangat', 'bermanfaat', 'bagi', 'yang', 'memerlukan', 'pembelian', 'yang', 'sulit', 'dicari', 'di', 'kota', 'dekat']",positif
['bagus'],positif
"['bagi', 'kan', 'saya', 'banyak', 'koin']",positif
"['shopping', 'jadi', 'mudah', 'di', 'shopee']",positif
"['aplikasi', 'paling', 'jelek', 'sekali', 'ini', 'shope', 'jelek', 'lemot']",negatif
['cakep'],positif
"['shopy', 'pntk']",negatif
"['sangat', 'membantu']",positif
['suka'],positif
"['shopee', 'adalah', 'marketplace', 'yang', 'paling', 'lemot', 'dan', 'ngebug', 'parah', 'sedunia', 'orang', 'klik', 'apa', 'dianya', 'keluar', 'apa', 'parah', 'mau', 'bayar', 'pake', 'shopee', 'pay', 'loadingnya', 'mau', 'nunggu', 'abad', 'aplikasi', 'paling', 'lemot', 'lemot', 'lemot', 'dr', 'pada', 'yg', 'lain', 'bye']",negatif
"['lalod', 'aplikasinya']",negatif
"['lola', 'mo', 'pembayaran', 'muter', 'mulu']",negatif
"['promo', 'diawal', 'saja', 'sudah', 'menipu', 'chat', 'cs', 'tidak', 'solutif', 'masalah', 'dilempar', 'sana', 'sini', 'sampai', 'nunggu', 'beberapa', 'hari', 'cuma', 'karena', 'perihal', 'promo', 'yg', 'belum', 'saya', 'gunakan', 'tapi', 'dari', 'pihak', 'shopee', 'menolak', 'karena', 'pernah', 'dipakai', 'padahal', 'saya', 'baru', 'download', 'dan', 'aktivasi', 'akun', 'serta', 'pakai', 'promo', 'itu', 'cuma', 'jeda', 'beberapa', 'menit', 'banyak', 'nipunya', 'cs', 'gak', 'solutif', 'aplikasi', 'pun', 'terlalu', 'berat', 'tidak', 'nyaman', 'mau', 'kirim', 'bukti', 'kesalahan', 'dari', 'pihak', 'shopee', 'tapi', 'sayang', 'disini', 'tidak', 'bisa', 'kirkm', 'foto', 'buat', 'bukti']",negatif
"['kecewa', 'sama', 'aplikasi', 'shopi', 'knpa', 'gabisa', 'isi', 'saldo', 'pulsa', 'lagi', 'tolong', 'di', 'perbaiki']",negatif
"['bisa', 'gak', 'sih', 'ongkir', 'buat', 'shopee', 'food', 'gausah', 'mahal', 'kali', 'untuk', 'sekali', 'makan', 'aja', 'setara', 'sama', 'belu', 'beras', 'kilo', 'padahal', 'makanan', 'yg', 'dibeli', 'murah', 'aja', 'ongkir', 'sama', 'biaya', 'lain', 'lainnya', 'yg', 'bikin', 'mahal']",negatif
"['mana', 'gratis', 'ongkir', 'oi', 'masa', 'gratis', 'ongkir', 'beli', 'itu', 'namannya', 'bukan', 'gratis', 'ongkir', 'sialan', 'aplikasi', 'ini', 'kayak', 'bauk', 'mau', 'di', 'apus', 'ni']",negatif
"['uda', 'pake', 'aplikasi', 'ini', 'tapi', 'iklan', 'muncul', 'trs', 'di', 'beranda', 'hp', 'saya', 'gak', 'masuk']",negatif
['baik'],positif
['mantap'],positif
['bagus'],positif
"['tambah', 'lagi', 'dong', 'pocer', 'nya']",negatif 
"['aplikasinya', 'lemot']",negatif
"['axel', 'pk', 'br', 'slm', 'pth', 'slm', 'pth']",positif
['bagus'],positif
"['buruk', 'ngajuin', 'spaylager', 'gabisa', 'bisa', 'udah', 'berpuluh', 'puluh', 'kali', 'padahal', 'sering', 'pake', 'shope']",negatif
"['matul', 'bgt']",positif
[],positif
"['forum', 'yg', 'good', 'lah', 'untuk', 'menjual', 'dan', 'beli', 'terpercaya', 'so', 'good', 'lah']",positif
['oke'],positif 
"['aplikasi', 'gak', 'jelas', 'banget', 'berat', 'banget', 'woyy', 'lelet', 'muter²', 'terus', 'gak', 'guna']",negatif
"['kenapa', 'sih', 'shopee', 'tuh', 'lemot', 'banget', 'bikin', 'kesel']",negatif
"['makin', 'aneh']",negatif
"['aplikasi', 'cacat', 'kebanyakan', 'fitur', 'gajelas', 'bikin', 'seller', 'berjualan', 'lemot', 'beda', 'kaya', 'toko', 'ijo', 'ringan', 'enak', 'karna', 'fokus', 'buat', 'jual', 'beli', 'apalagi', 'fitur', 'shopee', 'video', 'ngikutin', 'tiktok', 'makin', 'bikin', 'lemot', 'mau', 'pake', 'sinyal', 'juga', 'serakah', 'banget', 'pengen', 'punya', 'segalanya', 'dalam', 'aplikasi', 'tapi', 'aplikasi', 'gapernah', 'di', 'upgrade', 'coba', 'pengembang', 'aplikasinya', 'suruh', 'cobain', 'make', 'aplikasinya', 'sendiri', 'pasti', 'geregetan']",negatif
"['tinggalin', 'shoopee', 'aja', 'rame²apk', 'sdh', 'gak', 'jelaslemodgak', 'kek', 'dulu', 'lagikek', 'apk', 'sampah']",negatif
"['puas', 'atas', 'layanan', 'cod', 'nya']",positif
['mantappppp'],positif
"['gak', 'ribet', 'buat', 'belanja']",positif
"['kalo', 'pasang', 'iklan', 'gak', 'ngotak', '-tombol', 'close', 'kecil', '-', 'iklan', 'detik', 'closenya', 'ampe', '-gak', 'di', 'pencet', 'ngarah', 'sendiri', 'ke', 'playstore', 'hahaha', 'miskin', 'amat', 'lu', 'tong']",negatif
"['agak', 'lemotvideo', 'juga', 'di', 'klik', 'komen', 'susah']",negatif
"['mudah', 'dan', 'terpercaya', 'aman']",positif
"['sering', 'lemot']",negatif
"['lola', 'bgt', 'skrng', 'aplikasinya', 'kebanyakan', 'fitur', 'capek', 'aku', 'cari', 'brg', 'ga', 'bisa', 'sat', 'set', 'ngeblank', 'mulu']",negatif
['mantul'],positif
['ok'],positif
"['aku', 'suka', 'aplikasi', 'shopee', 'karena', 'selain', 'murah', 'juga', 'sering', 'dapet', 'gratisan', 'ongkir']",positif
"['banyak', 'penipuan', 'di', 'shopee', 'udh', 'sering', 'bngt', 'kena', 'tipu', 'toko', 'di', 'shopee']",negatif
"['pelayanan', 'bagus', 'tapi', 'gak', 'pernah', 'dapat', 'shopepay']",
"['namanya', 'doang', 'shope', 'expres', 'paket', 'stak', 'di', 'cileungsi', 'udah', 'hari', 'kaga', 'jalan', 'jalan']",negatif
"['saya', 'suka', 'menggunakan', 'shopee', 'ketika', 'belanja', 'online', 'prosesnya', 'cepat', 'tanggap', 'terima', 'kasih', 'shopee']",positif
"['shopee', 'no']",positif
['okk'],positif
"['alahamdulillah', 'shopee', 'aman']",positif
['ok'],positif
"['terimakasih', 'shopee']",positif
"['waspadalah', 'pakai', 'apk', 'shoope', 'ini', 'anda', 'akan', 'terkena', 'rancunnya', 'seoerti', 'saya', 'ini', 'dengan', 'gratis', 'ongkirnya', 'tiap', 'hari', 'batang', 'murah', 'dan', 'berkualitas']",positif
"['sejauh', 'ini', 'cukup', 'puas']",positif
"['sangat', 'membantu']",positif
"['sangat', 'bagus']",positif
"['login', 'diakun', 'sendiri', 'malah', 'minta', 'scan', 'sedangkan', 'login', 'aja', 'gabisa', 'gimana', 'mau', 'scan', 'ribet', 'mending', 'pake', 'apk', 'ijo']",negatif
"['kenapa', 'yah', 'punya', 'aku', 'sekarang', 'ga', 'bisa', 'di', 'buka', 'ga', 'ada', 'muncul', 'apa²', 'padahal', 'mau', 'ngecek', 'pesanan', 'mau', 'cek', 'out', 'juga', 'ga', 'bisa', 'gimana', 'dong']",negatif
"['mantap', 'pokoknya', 'belanja', 'di', 'shopee']",positif
"['iklanya', 'alai', 'banget']",negatif
['bagus'],positif
"['god', 'job']",positif
"['semakin', 'tidak', 'bagusmahal', 'mahal', 'semua', 'ongkir', 'dan', 'barang', 'di', 'shopekwalitas', 'barang', 'ny', 'pun', 'sekarang', 'gak', 'ada', 'yang', 'bagus']",negatif
"['kalau', 'bikin', 'iklan', 'di', 'game', 'yang', 'ngotak', 'dikit', 'lah']",negatif
['bagus'],positif
"['be', 'de', 'bes', 'ngentid', 'mentol', 'jiwa']",negatif
"['terimakasih', 'alhamdulillah', 'baik', 'dari', 'wan', 'al']",positif
"['aplikasi', 'ny', 'udah', 'bgus', 'msalah', 'ny', 'hnya', 'tinggal', 'kurir', 'ny', 'yg', 'mngkin', 'gk', 'ada', 'sop', 'ny', 'klu', 'kerja', 'barang', 'blm', 'tiba', 'di', 'tempat', 'tujuan', 'malah', 'mau', 'di', 'kembalikan', 'ke', 'toko', 'ny', 'dengan', 'alasan', 'pembeli', 'tidak', 'dapat', 'di', 'hubungi', 'kan', 'gilak', 'atau', 'karena', 'saya', 'pesan', 'paket', 'pakai', 'voucher', 'ya', 'makany', 'mereka', 'kek', 'gtu', 'kerjanya', 'tolong', 'lh', 'pihak', 'shopee', 'lebih', 'cepat', 'di', 'respon', 'status', 'barang', 'di', 'kirim', 'dan', 'nomor', 'telepon', 'kurir', 'ny']",negatif 
"['nyesel', 'banget', 'top', 'up', 'malah', 'tolol', 'apknya']",negatif
['patennn'],positif
"['puas', 'blnja', 'dsni', 'byk', 'voucher', 'nya']",positif
"['ngotak', 'dikit', 'lah', 'apaan', 'mau', 'isi', 'pulsa', 'tiba²', 'ga', 'bisa', 'di', 'proses']",negatif
"['begitu', 'klik', 'bayar', 'sekarang', 'langsung', 'terhubung', 'dengan', 'seabank', 'dan', 'tidak', 'ada', 'opsi', 'bank', 'lain', 'customer', 'service', 'tidak', 'bisa', 'dihubungi', 'yang', 'menjawab', 'mesin', 'dengan', 'pertanyaan', 'dan', 'jawaban', 'default', 'sehingga', 'tidak', 'bisa', 'membantu', 'sudah', 'kebanyakan', 'pelanggan', 'kayaknya', 'nggak', 'butuh', 'saya', 'lagi', 'bye', 'sophee']",negatif
"['sangat', 'membantu']",positif
"['untuk', 'para', 'customer', 'diharap', 'lebih', 'bijak', 'lagi', 'dalam', 'memilih', 'toko', 'saat', 'membeli', 'barangsoalnya', 'penjualan', 'ramai', 'gak', 'menjamin', 'barang', 'itu', 'bagusapalagi', 'untuk', 'barang', 'elektronikkalo', 'bisa', 'harus', 'dari', 'shopee', 'official', 'atau', 'shopee', 'mallsoalnya', 'banyak', 'toko', 'dengan', 'barang', 'elektroniknya', 'jadi', 'no', 'penjualan', 'tapi', 'kualitas', 'barangnya', 'jelekbekasatau', 'bahkan', 'pernah', 'dapet', 'barang', 'palsu', 'yang', 'dah', 'gak', 'berfungsihanya', 'sekedar', 'pengingat', 'buat', 'customer', 'supaya', 'lebih', 'teliti', 'dalam', 'membeli', 'barang']",negatif 
"['suka', 'ngelag']",negatif
"['pdhl', 'dlu', 'apk', 'olshop', 'favorit', 'sekarang', 'stlh', 'di', 'update', 'mlh', 'shopeepay', 'plus', 'nya', 'gak', 'bisa', 'dibuka', 'huh', 'kecewa', 'bgt']",negatif
"['saya', 'suka', 'belanja', 'di', 'shopee']",positif
['oo'],positif
['mantap'],positif
"['bagus', 'sekali', 'aplikasinya', 'dan', 'sip']",positif
"['lelet', 'berat']",negatif
"['pengguna', 'setia', 'shope']",positif
['terpercaya'],positif
"['makin', 'lemot', 'aplikasinya', 'buka', 'shopee', 'serasa', 'main', 'genshin', 'impact', 'resulusi', 'hd', 'pake', 'hp', 'ram', 'gb', 'signal', 'bagus', 'aja', 'lemot', 'apalagi', 'pas', 'jelek', 'makin', 'lemot', 'kayak', 'akslerasi', 'scoopy', 'new', 'awokwokwok']",negatif
"['bagus', 'bang']",positif
"['shoope', 'bagus', 'dan', 'barang', 'nya', 'terjamin', 'kualitas', 'bagus']",positif
"['klo', 'bisa', 'di', 'adain', 'voucer', 'diskon', 'kak', 'buat', 'pengguna', 'baruu']",positif 
"['bagus', 'aplikasinya']",positif
['bagis'],positif
"['pelayanan', 'nyaman', 'pengiriman', 'rapih', 'dan', 'cepat']",positif
['asyiiiappo'],positif
"['aplikasi', 'yang', 'sangat', 'bagus', 'buat', 'orang', 'orang', 'yg', 'mau', 'belanja', 'hemat', 'dan', 'kualitas', 'bagus']",positif
"['kamuu', 'nanyaaaaaa']",negatif
"['sangat', 'membantu']",positif
"['sistem', 'shoope', 'pay', 'tidak', 'berjalan', 'dengan', 'baik']",negatif
['siiiiplah'],positif
"['mampir', 'ya']",positif 
"['lumayan', 'adapeningkatan', 'layanan']",positif
"['sistem', 'tidak', 'berjalan', 'bagus', 'untuk', 'shoope', 'pay']",negatif
['ok'],positif
['keren'],positif
['vvb'],negatif
"['sering', 'delay', 'sinyalku', 'kpn', 'pdhl', 'aku', 'senang', 'banget', 'belanja', 'disini', 'lohhh']",positif
"['sangat', 'suka']",positif
"['mengapa', 'skrang', 'pesan', 'shoppe', 'foodtidk', 'tersedia', 'pembayaran', 'untk', 'paylater']",negatif
"['spaylater', 'sudah', 'di', 'lunasi', 'dari', 'tahun', 'kemarin', 'masih', 'saja', 'di', 'blokir', 'maaf', 'kasih', 'bintang', 'pelayanan', 'kurang', 'memuaskan', 'customer']",negatif
"['memang', 'belum', 'lama', 'bergabung', 'di', 'shopee', 'mungkin', 'baru', 'sekitar', 'dua', 'tahun', 'memiliki', 'dan', 'mengelola', 'toko', 'online', 'dan', 'terkadang', 'melakukan', 'transaksi', 'pembelian', 'juga', 'dari', 'toko', 'lain', 'sejauh', 'ini', 'bagus', 'hanya', 'yg', 'ckup', 'mengecewakan', 'adalah', 'sulitnya', 'melakukan', 'pinjaman', 'dari', 'aplikasi', 'yg', 'di', 'sediakan', 'di', 'shopee']",positif
['alhamdulillah'],positif
"['aplikasi', 'nya', 'kurang', 'bagus', 'setiap', 'mau', 'login', 'ke', 'akun', 'pasti', 'selalu', 'ada', 'bacaan', 'blokir']",negatif
"['yg', 'penting', 'bahagia']",positif
"['sangat', 'membantu']",positif
"['bagus', 'ok', 'bye']",positif
['keren'],positif
['bagus'],positif
['ok'],positif
"['bagus', 'benget', 'mudah', 'untuk', 'belanja', 'online']",positif
"['shope', 'mantap']",positif
"['aplikasi', 'sangat', 'berat', 'sekali', 'susah', 'milih', 'milih', 'barang', 'kalo', 'mau', 'belanja']",positif
['bgusss'],positif
"['noo', 'shopee', 'nggak', 'seperti', 'yang', 'kalian', 'kira']",negatif
['baik'],positif
"['sebenarnya', 'shopee', 'sangat', 'bagus', 'untuk', 'jualan', 'online', 'cuma', 'sekarang', 'ini', 'aplikasinya', 'agak', 'lemot', 'sehingga', 'menganggu', 'untuk', 'update', 'produk', 'apakah', 'ada', 'obatnya', 'padahal', 'jaringan', 'bagus']",positif
"['aplikasi', 'keren']",positif
"['sangat', 'bagus', 'shopee']",positif
['mantap'],positif
"['opsi', 'pengiriman', 'loading', 'nya', 'lama']",negatif
['nice'],positif
"['cod', 'gak', 'bisakatanya', 'karena', 'barang', 'ggl', 'dikirim', 'dan', 'di', 'kembalikanalasanya', 'gk', 'masuk', 'akal', 'padahal', 'yg', 'bermasalah', 'jasa', 'kirim', 'shope', 'sendiri', 'pada', 'mengundurkan', 'diri', 'jadi', 'pesanan', 'gk', 'diantaraneh']",negatif
"['sekarang', 'shopee', 'jdi', 'byak', 'biaya', 'tambahan', 'dan', 'voucher', 'gratis', 'ongkir', 'gk', 'sebanyak', 'dlu']",negatif
"['kacau', 'nih', 'kalo', 'jadi', 'sellernya', 'barang', 'rusak', 'sama', 'ekspedisi', 'yang', 'di', 'ganti', 'cuma', 'buat', 'pembeli', 'untuk', 'seller', 'susah', 'banget', 'suruh', 'menunggu', 'terus', 'di', 'ganti', 'mah', 'kaga']",negatif
"['suka', 'pake', 'shopee']",positif
"['shopee', 'semakin', 'kesini', 'semakin', 'pelit', 'saya', 'sudah', 'member', 'platinum', 'cuma', 'diberi', 'gratis', 'ongkir', 'untuk', 'minggu', 'itu', 'pun', 'gratis', 'nya', 'cuma']",negatif
"['banyak', 'eror', 'sekarang', 'gak', 'kayak', 'dulu', 'sering', 'leg', 'makin', 'di', 'update', 'makin', 'parah', 'sangat', 'kecewa', 'dan', 'diskon', 'nya', 'pun', 'sangat', 'tidak', 'puas', 'dan', 'ongkir', 'pun', 'mahal', 'sekarang', 'sangat', 'sangat', 'kecewa', 'banget']",negatif
"['aplikasinya', 'kelamaan', 'loading', 'apalgi', 'bagian', 'pembayaran', 'pdahal', 'jaringan', 'full']",negatif
"['blanja', 'makin', 'simple']",positif
['lemot'],negatif
['mantap'],positif
"['shoppe', 'penipu']",negatif
['oke'],positif
['bagus'],positif
"['sy', 'termasuk', 'belum', 'lama', 'di', 'shopee', 'dulu', 'kurang', 'tertarik', 'ternyata', 'belanja', 'di', 'shopee', 'menyenangkan', 'salam', 'sukses']",positif
"['apk', 'yg', 'sngt', 'bguss', 'sya', 'tdk', 'mnyesal', 'mendownload', 'shopee']",positif
"['ngelag', 'kali', 'apk', 'ny']",negatif
"['mantab', 'mudah', 'digunakan']",positif
['ok'],positif
"['untuk', 'hp', 'spek', 'lumayan', 'tetap', 'lemot', 'tolong', 'pihak', 'dev', 'dengarkan', 'saran-saran', 'kami', 'para', 'user', 'reels', 'gk', 'jelas', 'video', 'gk', 'jelas', 'diupload', 'yg', 'bukan', 'produk', 'dijual', 'hapus', 'aja', 'reels', 'klo', 'live', 'msh', 'gapapa', 'tp', 'tetap', 'perbaiki', 'agar', 'lebih', 'stabil', 'jgn', 'fitur', 'mulu', 'tp', 'gk', 'peduli', 'user']",negatif
"['good', 'job']",positif
['bagusss'],positif
"['shopee', 'keren']",positif
"['soo', 'far', 'so', 'good', 'tolong', 'di', 'filter', 'lagi', 'toko', 'yg', 'nakal', 'donk']",positif
"['yang', 'bilang', 'apk', 'ini', 'lelet', 'itu', 'hpnya', 'aja', 'ini', 'hp', 'ku', 'nggk', 'lelet']",positif
"['hemmm', 'yes']",positif
['good'],positif
['mantap'],positif
['good'],positif
"['mntap', 'lnjut', 'kan', 'smoga', 'mkin', 'jaya']",positif
"['bgus', 'bgt']",positif
"['untuk', 'yang', 'shopee', 'food', 'biaya', 'layanan', 'mungkin', 'bisa', 'di', 'ubah', 'jadi', 'atau', 'kalau', 'menurut', 'saya', 'itu', 'terlalu', 'mahal', 'ini', 'untuk', 'daerah', 'sidoarjo', 'ya', 'gak', 'tau', 'kalau', 'di', 'daerah', 'lain', 'berbeda']",negatif
"['parahhh', 'aplikasi', 'ini', 'lemot', 'dehhh', 'sdh', 'beberapa', 'kali', 'upgrade', 'haduhhh', 'bikin', 'rugi', 'dan', 'cape', 'hati']",negatif
"['bintang', 'yang', 'berbicara']",negatif 
"['shopee', 'agak', 'lemot', 'makanya', 'saya', 'kasih', 'bintang']",negatif
"['mohon', 'pihak', 'shopee', 'di', 'cek', 'ulang', 'aplikasinya', 'semakin', 'di', 'update', 'semakin', 'lelet', 'dan', 'berat', 'sulit', 'untuk', 'membuka', 'aplikasinya', 'kami', 'pemakai', 'shopee', 'terasa', 'tidak', 'nyaman', 'dan', 'sulit', 'untuk', 'bertraksaksi', 'mohon', 'di', 'cek', 'kembali', 'agar', 'para', 'memakai', 'aplikasi', 'shopee', 'lebih', 'nyaman', 'terima', 'kasih']",negatif
"['sopi', 'edan']",negatif
"['lelet', 'lemot']",negatif
"['mungkin', 'ini', 'dikeluhkan', 'banyak', 'user', 'shopee', 'tolonglah', 'adakan', 'fitur', 'untuk', 'bisa', 'on', 'dan', 'off', 'agar', 'para', 'user', 'bisa', 'milih', 'atau', 'enggaknya', 'nerima/nonton', 'fitur', 'shoppe', 'live', 'dan', 'shoppe', 'video', 'dengan', 'adanya', 'kedua', 'fitur', 'tadi', 'langsung', 'shopee', 'terasa', 'berat', 'lag', 'dan', 'sering', 'ghost', 'touch', 'sehingga', 'kelancaran', 'dan', 'kecepatan', 'ketika', 'shopee', 'diperlukan', 'terasa', 'ribet', 'sering', 'lola', 'nya', 'karena', 'gak', 'semua', 'user', 'shopee', 'pastinya', 'yang', 'suka', 'klik', 'dan', 'nonton', 'shopee', 'live', 'dan', 'shoppe', 'video', 'trima']",negatif
"['spinjam', 'ku', 'kok', 'belum', 'aktif', 'yaa', 'dan', 'knp', 'payleter', 'ku', 'saja', 'yg', 'semakin', 'bertambah', 'limit', 'nya']",negatif
"['untuk', 'saat', 'ini', 'lumayan', 'pertahankan']",positif
['antap'],positif
"['seneng', 'banget', 'shoper', 'byk', 'gratis', 'ongkir', 'nya']",positif
