content,SENTIMEN,,,,
Super the best banget . Dan PUAS belanja di shoppe,positif,,,,
Senang berbelanja di shoope ..tingkatkan terus pelayanannya,positif,,,,
Allahu Akbar semoga saya dapat mobil??,positif,,,,
sangat bagus untuk semuanya,positif,,,,
Sangat lemot..!!,negatif,,,,
Nice job,positif,,,,
Jos,positif,,,,
Jos..mantab,positif,,,,
Aplikasi shopee sangat bermanfaat sekali,positif,,,,
Belanja jadi lebih mudah..dari jauh bisa memberi hadiah buat keluarga,positif,,,,
"UI, serves ampas",negatif,,,,
Shopee mendukung penjual-penjual penipu yg sangat merugikan pembeli,negatif,,,,
Good job,positif,,,,
"tingkat keamanan menyulitkan pengguna, karna kita tidak bisa melakukan transaksi diakun kita sendiri jika terdeteksi baru login diperangkat baru. padahal saya sendiri pemilik akun tsb hanya karna saya mereset hp saya lalu saya tidak bisa melakukan transaksi.",negatif,,,,
trh,negatif,,,,
Sangat membantu buat para pejuang rupiah,positif,,,,
Sangat bermanfaat bagi yang memerlukan pembelian yang sulit dicari di kota" dekat,positif,,,,
BAgus,positif,,,,
bagi kan saya banyak koin,positif,,,,
Shopping jadi mudah di Shopee.,positif,,,,
Aplikasi paling jelek sekali ini shope jelek lemot??,negatif,,,,
Cakep,positif,,,,
Shopy p4nt3k,negatif,,,,
Sangat membantu,positif,,,,
Suka,positif,,,,
"Shopee adalah marketplace yang paling lemot dan ngebug parah sedunia, orang klik apa dianya keluar apa, parah.. mau bayar pake shopee pay loadingnya mau nunggu 10 abad!!. Aplikasi paling lemot lemot lemot dr pada yg lain. BYE!",negatif,,,,
Lalod aplikasinya,negatif,,,,
Lola mo pembayaran muter" mulu,negatif,,,,
"Promo diawal saja sudah menipu, chat CS tidak solutif masalah dilempar sana sini sampai nunggu beberapa hari cuma karena perihal promo yg belum saya gunakan tapi dari pihak shopee menolak karena pernah dipakai, padahal saya baru download dan aktivasi akun serta pakai promo itu cuma jeda beberapa menit. Banyak nipunya, CS gak solutif, aplikasi pun terlalu berat tidak nyaman. Mau kirim bukti kesalahan dari pihak shopee tapi sayang disini tidak bisa kirkm foto buat bukti.",negatif,,,,
Kecewa sama aplikasi shopi knpa gabisa isi saldo pulsa lagi tolong di perbaiki,negatif,,,,
bisa gak sih ongkir buat shopee food gausah mahal kali? untuk sekali makan aja setara sama belu beras 10 kilo padahal makanan yg dibeli murah aja. ongkir sama biaya lain lainnya yg bikin mahal,negatif,,,,
"MANA GRATIS ONGKIR OI , MASA GRATIS ONGKIR BELI ,ITU NAMANNYA BUKAN GRATIS ONGKIR SIALAN APLIKASI INI ,KAYAK BAUK2 MAU DI APUS NI",negatif,,,,
Uda pake aplikasi ini tapi iklan muncul trs di beranda hp saya. Gak masuk,negatif,,,,
baik,positif,,,,
Mantap ??,positif,,,,
Bagus,positif,,,,
Tambah lagi dong pocer nya,negatif ,,,,
aplikasinya lemot,negatif,,,,
Axel Pk br. 5 Slm 9n pth. 3 Slm 12n pth. 3,positif,,,,
Bagus,positif,,,,
Buruk ngajuin spaylager gabisa bisa udah berpuluh puluh kali padahal sering pake shope,negatif,,,,
matul bgt..,positif,,,,
????????????????????,positif,,,,
Forum yg good lah... untuk Menjual dan beli terpercaya So Good lah??,positif,,,,
Oke,positif ,,,,
"Aplikasi gak jelas banget, berat banget woyy lelet muter² terus. Gak guna!!!",negatif,,,,
Kenapa sih shopee tuh lemot banget bikin kesel.....??????,negatif,,,,
Makin aneh,negatif,,,,
"Aplikasi cacat kebanyakan fitur gajelas , bikin seller berjualan lemot ,beda kaya toko ijo ringan enak karna fokus buat jual beli.. apalagi fitur shopee video ngikutin tiktok , makin bikin lemot mau pake sinyal 5G juga. Serakah banget pengen punya segalanya dalam 1 aplikasi tapi aplikasi gapernah di upgrade . Coba pengembang aplikasinya suruh cobain make aplikasinya sendiri , pasti geregetan!!!",negatif,,,,
"Tinggalin shoopee aja rame²,apk sdh gak jelas,lemod,gak kek dulu lagi,kek apk sampah",negatif,,,,
Puas atas layanan cod nya,positif,,,,
Mantappppp,positif,,,,
gak ribet buat belanja,positif,,,,
Kalo pasang iklan gak ngotak -tombol close kecil - iklan 5 detik closenya ampe 100x -gak di pencet ngarah sendiri ke playstore... Hahaha miskin amat lu tong,negatif,,,,
agak lemot..video juga di klik komen susah..,negatif,,,,
Mudah dan terpercaya aman,positif,,,,
Sering lemot,negatif,,,,
"Lola bgt skrng aplikasinya kebanyakan fitur, capek aku cari brg ga bisa sat set ngeblank mulu",negatif,,,,
mantul,positif,,,,
Ok,positif,,,,
Aku suka aplikasi shopee karena selain murah juga sering dapet gratisan ongkir,positif,,,,
Banyak penipuan di Shopee udh sering bngt kena tipu toko di Shopee,negatif,,,,
Pelayanan bagus tapi gak pernah dapat shopepay,,,,,
"Namanya doang shope expres, paket stak di cileungsi udah 3 hari kaga jalan jalan..",negatif,,,,
Saya suka menggunakan shopee ketika belanja online. Prosesnya cepat tanggap. Terima kasih shopee,positif,,,,
Shopee no 1,positif,,,,
Okk,positif,,,,
Alahamdulillah shopee Aman,positif,,,,
ok,positif,,,,
terimakasih shopee,positif,,,,
"Waspadalah pakai apk shoope ini !! Anda akan terkena rancunnya seoerti saya ini dengan gratis ongkirnya tiap hari, batang2 murah dan berkualitas !",positif,,,,
sejauh ini cukup puas,positif,,,,
Sangat membantu,positif,,,,
sangat bagus,positif,,,,
"login diakun sendiri malah minta scan, sedangkan login aja gabisa gimana mau scan, ribet mending pake apk ijo",negatif,,,,
"Kenapa yah punya aku sekarang ga bisa di buka ga ada muncul apa² ,padahal mau ngecek pesanan ?? mau cek out juga ga bisa ??gimana dong??",negatif,,,,
Mantap pokoknya belanja di shopee...????,positif,,,,
Iklanya alai banget,negatif,,,,
Bagus,positif,,,,
God job,positif,,,,
Semakin tidak bagus....mahal mahal semua ongkir dan barang di shope..kwalitas barang ny pun sekarang gak ada yang bagus,negatif,,,,
Kalau bikin iklan di game yang ngotak dikit lah,negatif,,,,
Bagus,positif,,,,
Be de bes ngentid mentol jiwa,negatif,,,,
Terimakasih alhamdulillah baik dari wan Al,positif,,,,
"aplikasi ny udah bgus .. msalah ny hnya tinggal kurir2 ny yg mngkin gk ada SOP ny klu kerja .. barang blm tiba di tempat tujuan malah mau di kembalikan ke toko ny.. dengan alasan pembeli tidak dapat di hubungi. kan gilak .. atau karena saya pesan paket pakai voucher ya, makany mereka2 kek gtu kerjanya .. tolong lh pihak shopee lebih cepat di respon status barang di kirim dan nomor telepon kurir ny",negatif ,,,,
Nyesel banget top up.. Malah tolol apknya.,negatif,,,,
Patennn,positif,,,,
"Puas blnja dsni, byk voucher nya??",positif,,,,
Ngotak dikit lah Apaan mau isi pulsa tiba² ga bisa di proses,negatif,,,,
"Begitu klik bayar sekarang langsung terhubung dengan seabank dan tidak ada opsi bank lain, customer service tidak bisa dihubungi, yang menjawab mesin dengan pertanyaan dan jawaban default, sehingga tidak bisa membantu. Sudah kebanyakan pelanggan, kayaknya nggak butuh saya lagi, bye Sophee",negatif,,,,
sangat membantu,positif,,,,
"Untuk para customer diharap lebih bijak lagi dalam memilih toko saat membeli barang.soalnya penjualan ramai gak menjamin barang itu bagus,apalagi untuk barang elektronik.Kalo bisa harus dari shopee official atau shopee mall,soalnya banyak toko dengan barang elektroniknya jadi no 1 penjualan tapi kualitas barangnya jelek,bekas,atau bahkan pernah dapet barang palsu yang dah gak berfungsi.Hanya sekedar pengingat buat customer supaya lebih teliti dalam membeli barang.",negatif ,,,,
Suka ngelag,negatif,,,,
Pdhl dlu apk olshop favorit sekarang stlh di update mlh shopeepay plus nya gak bisa dibuka huh kecewa bgt,negatif,,,,
Saya suka belanja di shopee,positif,,,,
oo,positif,,,,
mantap,positif,,,,
Bagus sekali aplikasinya dan sip...,positif,,,,
Lelet berat,negatif,,,,
Pengguna setia shope ????,positif,,,,
Terpercaya,positif,,,,
"makin lemot aplikasinya, buka shopee serasa main genshin impact resulusi hd pake hp ram 3gb. signal bagus aja lemot, apalagi pas jelek makin lemot kayak akslerasi scoopy new awokwokwok",negatif,,,,
bagus bang,positif,,,,
Shoope bagus dan barang2 nya terjamin kualitas bagus....,positif,,,,
Klo bisa di adain voucer diskon kak buat pengguna baruu,positif ,,,,
Bagus aplikasinya,positif,,,,
Bagis,positif,,,,
Pelayanan nyaman.. pengiriman rapih dan cepat...,positif,,,,
asyiiiappo,positif,,,,
Aplikasi yang sangat bagus buat orang orang yg mau belanja hemat dan kualitas bagus .,positif,,,,
Kamuu nanyaaaaaa??,negatif,,,,
Sangat membantu??????????????????,positif,,,,
sistem shoope pay tidak berjalan dengan baik,negatif,,,,
siiiiplah,positif,,,,
Mampir ya,positif ,,,,
Lumayan adapeningkatan layanan,positif,,,,
sistem tidak berjalan bagus untuk shoope pay,negatif,,,,
Ok,positif,,,,
Keren,positif,,,,
Vvb,negatif,,,,
Sering delay sinyalku kpn y pdhl aku senang banget belanja disini lohhh ??,positif,,,,
sangat suka,positif,,,,
"Mengapa skrang pesan shoppe food,tidk tersedia pembayaran untk paylater",negatif,,,,
"Spaylater Sudah Di Lunasi Dari Tahun Kemarin Masih Saja Di Blokir , Maaf Kasih Bintang 1 Pelayanan Kurang Memuaskan Customer",negatif,,,,
"Memang belum lama bergabung di shopee , mungkin baru sekitar dua tahun . memiliki dan mengelola toko online dan terkadang melakukan transaksi pembelian juga dari toko lain , sejauh ini bagus . hanya yg ckup mengecewakan adalah sulitnya melakukan pinjaman dari aplikasi yg di sediakan di shopee .",positif,,,,
Alhamdulillah,positif,,,,
Aplikasi nya kurang bagus setiap mau login ke akun pasti selalu ada bacaan blokir ????,negatif,,,,
Yg penting bahagia,positif,,,,
sangat membantu,positif,,,,
Bagus ok bye,positif,,,,
Keren,positif,,,,
bagus...,positif,,,,
Ok,positif,,,,
Bagus benget mudah untuk belanja online,positif,,,,
Shope Mantap,positif,,,,
Aplikasi sangat berat sekali susah milih milih barang kalo mau belanja ??,positif,,,,
bgusss,positif,,,,
"Noo, shopee nggak seperti yang kalian kira",negatif,,,,
baik,positif,,,,
"Sebenarnya shopee sangat bagus untuk jualan online, cuma sekarang ini aplikasinya agak lemot sehingga menganggu untuk update produk, apakah ada obatnya, padahal jaringan bagus",positif,,,,
Aplikasi keren,positif,,,,
sangat bagus Shopee,positif,,,,
Mantap,positif,,,,
Opsi pengiriman loading nya lama,negatif,,,,
nice,positif,,,,
"Cod gak bisa,katanya karena barang GGL dikirim dan di kembalikan.alasanya GK masuk akal padahal yg bermasalah jasa kirim shope sendiri pada mengundurkan diri jadi pesanan GK diantar.aneh",negatif,,,,
Sekarang Shopee jdi byak biaya tambahan dan voucher gratis ongkir gk sebanyak dlu,negatif,,,,
"Kacau nih kalo jadi sellernya. Barang rusak sama ekspedisi yang di ganti cuma buat pembeli, untuk seller susah banget suruh menunggu terus di ganti mah kaga!",negatif,,,,
suka pake shopee,positif,,,,
"Shopee semakin kesini semakin pelit, saya sudah member platinum cuma diberi 3x gratis ongkir untuk 1 minggu, itu pun gratis nya cuma 3.000",negatif,,,,
"Banyak eror sekarang, gak kayak dulu, sering leg2, makin di update makin parah, sangat kecewa, dan diskon nya pun sangat tidak puas, dan ongkir pun mahal sekarang, sangat sangat kecewa banget",negatif,,,,
Aplikasinya kelamaan loading Apalgi bagian pembayaran Pdahal jaringan full,negatif,,,,
Blanja makin simple,positif,,,,
lemot,negatif,,,,
mantap,positif,,,,
Shoppe penipu,negatif,,,,
oke,positif,,,,
Bagus,positif,,,,
"Sy termasuk belum lama di Shopee, dulu kurang tertarik, ternyata belanja di Shopee menyenangkan. Salam sukses.",positif,,,,
Apk yg sngt bguss sya tdk mnyesal mendownload shopee??,positif,,,,
ngelag kali apk ny ????????,negatif,,,,
Mantab mudah digunakan,positif,,,,
Ok,positif,,,,
Untuk hp spek lumayan tetap lemot :( tolong pihak dev dengarkan saran-saran kami para user. Reels gk jelas video2 gk jelas diupload yg bukan produk dijual! Hapus aja reels klo live msh gapapa tp tetap perbaiki agar lebih stabil jgn fitur2 mulu tp gk peduli user !,negatif,,,,
good job,positif,,,,
Bagusss,positif,,,,
shopee keren,positif,,,,
"Soo far, so good.. Tolong di filter lagi toko yg nakal donk...",positif,,,,
Yang bilang apk ini lelet itu hpnya aja. Ini hp ku nggk lelet,positif,,,,
Hemmm yes,positif,,,,
good,positif,,,,
mantap,positif,,,,
Good,positif,,,,
Mntap... Lnjut kan.. Smoga mkin jaya ????,positif,,,,
Bgus bgt,positif,,,,
"Untuk yang Shopee food biaya layanan mungkin bisa di ubah jadi 2000 atau 1000, kalau 5000 menurut saya itu terlalu mahal. Ini untuk daerah sidoarjo ya gak tau kalau di daerah lain berbeda",negatif,,,,
Parahhh aplikasi ini lemot dehhh sdh beberapa kali upgrade Haduhhh bikin rugi dan cape hati,negatif,,,,
Bintang yang berbicara,negatif ,,,,
Shopee agak lemot makanya saya kasih bintang 4,negatif,,,,
Mohon pihak shopee di cek ulang aplikasinya.. semakin di update semakin lelet dan berat.. sulit untuk membuka aplikasinya.. kami pemakai shopee terasa tidak nyaman dan sulit untuk bertraksaksi.. mohon di cek kembali.. agar para memakai aplikasi shopee lebih nyaman.. terima kasih,negatif,,,,
Sopi edan,negatif,,,,
"Lelet, lemot",negatif,,,,
"mungkin ini dikeluhkan banyak user shopee. tolonglah adakan fitur untuk bisa on dan off agar para user bisa milih atau enggaknya nerima/nonton fitur shoppe live dan shoppe video. dengan adanya kedua fitur tadi langsung shopee terasa berat, lag dan sering ghost touch. sehingga kelancaran dan kecepatan ketika shopee diperlukan terasa ribet sering lola nya. karena gak semua user shopee pastinya yang suka klik dan nonton shopee live dan shoppe video. trima",negatif,,,,
s.pinjam Ku kok belum aktif yaa dan knp payleter ku saja yg semakin bertambah limit nya,negatif,,,,
Untuk saat ini lumayan Pertahankan,positif,,,,
antap,positif,,,,
Seneng banget shoper byk gratis ongkir nya,positif,,,,
Kalau ada penilaian minus bintang 5 saya pilih minus bintang 5 deh. Soalnya sekarang topup shopeepay pake kode otp segala!! No spay saya aktip.. jaringan hp saya bagus.. tapi tetep engga ada no otp!! Udh berkali-kali kirim ulang ttp engga ada!! Mending balikin lagi kaya bulan2 lalu engga ada verif no hp.. lancar2 ajh tuh.. jadi imbasnya sekarang saya engga pake spay lagi?? pdhal overall semua fitur ny shopee berguna bagi kehidupan saya..,negatif,,,,
Download nya lama,negatif,,,,
suka aja dengan shopee,positif,,,,
Ok,positif,,,,
"Transfer dari dana ke shopeepay 51.763, biaya dari dana 999. Jadinya kan 52.762. trus yang masuk ke shopeepay nya cuman 50.762. kan aneh! Gitu protes ke cs katanya potongan 2rb dari dananya, saya ss lah yang di dananya jelas2 tertulis 999 rupiah. Cs nya malah bingung, masalah gk terselesaikan sama sekali. Gak ada pemberitahuan potongan sekian2, eh tiba2 dipotong. Kecewa parah!!",negatif,,,,
"Update Entahlah siapa yg membuat aplikasi ini di indonesia. PADAHAL Copas deskripsi dari Note sudah kedetect pelanggaran. kayak apk.mu gak berat!! Sekali klik saja nunggu sambil kerja yg lain bisa. Makanya di amati detail semua deskripsi produk semua nya singkat². Shope tidak mau belajar dari senior²nya yg sudah ada. Tulis deskripsi agak panjang koneksi putus, itu TOLOL namanya. bukannya deskripsi itu penting.. Apk sotoy kebanyakan PoLa dan tingkah. Terutama yg membuat Apk.nya kebanyakan model.",negatif,,,,
"Saya harap nggak usah ada status video di shopee, itu membuat jaringan internet shopee jadi lemah, membuat pengguna nggak nyaman",negatif ,,,,
mantap,positif,,,,
Mantap,positif,,,,
Bonus shoppe video nya kok diubah jadi koin sih . Jadi gak bagus kalau hadiah nya koin bukan uang. Jadi gak semangat buka shoppe nya,negatif,,,,
"Kenapa yaa buka shopee malah kayak error dan kedap kedip begitu di hp saya? Padahal aplikasi lain baik-baik aja gak ada yg error. Mohon bantuannya dan konfirmasinya karna saya sebagai seller jadi kebingungan untuk melakukan jual beli karna aplikasi tidak bisa dijalankan. Balasan untuk developer, saya sudah clear cache bahkan instal ulang tp aplikasi tetap gak bisa digunakan",negatif,,,,
"Aplikasinya kurangi dong, makin di update makin lemot aja..",negatif,,,,
banyak iklan ????????,negatif,,,,
Aplykasi bagus tp jika buka nya berat kenapa ya,negatif,,,,
mantap,positif,,,,
bagus,positif,,,,
Selama belanja di shopie alhmdulilah slalu sesuai hrpan. Smoga shopie mkin amnh brokah n lncar,positif,,,,
Kami lanjut,positif,,,,
L0,negatif,,,,
Shopee is the best.belanja di shopee mudah.suka dan murah.thaks shopee.,positif,,,,
"Apa gegara abis update kenapa malah suka ngelag sama banyak nge-bug nya neh aplikasi, masa hape ram gede aja bisa selelet ini, perasaan sinyal juga oke, Sementara bintang ?? 1 dulu, mau pake online shop yg laen dulu sampe aplikasi lancar kembali",negatif,,,,
Good,positif,,,,
Awesome,positif,,,,
"Apk lu jelek. Lemot bgt Buka yg lain lancar jaya. Ga heran si ni apk bakalan hancur, bakalan hancurin dev nya sendiri",negatif,,,,
ada apa sama paylaternya??,positif,,,,
Sangat bagus dan rekomendasi,positif,,,,
??????,positif,,,,
"Okke Shopee good job sudah lama banget pakai Shopee , saran nya harus di tingkatkan lagi untuk shopepaylater nya sma Shopee pinjam nya limit nya biar besar.",positif,,,,
Sangat menyenangkan,positif,,,,
"Banyak banyakin gratis ongkirnya ya min,sama flas salenya ga ngotak jirrr dlm hitungan 1 menit dah habis",positif,,,,
berat bngt apknya bikin hp ngehang,negatif,,,,
Good job,positif,,,,
Oke,positif,,,,
lelettttt,negatif,,,,
Semakin sering dipake mlh semakin loading,negatif,,,,
mantapp,positif,,,,
LEMOT,negatif,,,,
Good,positif,,,,
Kenapa yaa ga bisaa sistim COD padahal kan lumayan loh minn ini gratiss ongkir tapii kenapa ga bisaa COD ahhhhhh........... Pliss lahh minn sistem COD nya nyalain,negatif,,,,
Good,positif,,,,
Lemott,negatif,,,,
"Payah, masa mau top up masa batas maximumnya 1 juta wkwkk duhh bagusan Shopee yang lamaa. Masih bagusan lapak ijoo",negatif,,,,
"...ft X,, . 6 9, . To FC vbkm John nutty B . B bu 0 . Bu 7bb53bbvccc KFCNB b 0 . Bui 7600 g ,,TTS r Er TTS yg) v 00 . . Jet swt. Bet , Get j",negatif,,,,
Sangat membantu,positif,,,,
"shoppe sangat menyenangkan,dlm belanja, menonton, bermain game ??????",positif,,,,
Mantappppp??????????,positif,,,,
Mksh shopee mg sukses sllu,positif,,,,
Mantap...,positif,,,,
Overall mantap jiwa ting ting,positif,,,,
Lumayan,positif,,,,
Josss,positif,,,,
Mengganggu,negatif,,,,
Aku sukaaaaaa shope,positif,,,,
Hrga terjangkau murah,positif,,,,
"Aplikasinya terlalu berat, HP cuna ram 2 GB mau belanja aja minta ampun susahnya",negatif,,,,
Lag gak jelas shopee,negatif,,,,
Kurangnya driver sehingga saya mau pesan makan harus nunggu lama dan akhirnya diCANCEL APLIKASINYA SENDIRI,negatif,,,,
Sekarang sudah sekali mau pencarian aj lemott banget padahal jaringan stabil,negatif,,,,
Sejauh ini Alhamdulillah blm pernah kecewa dgn barang2 yg dkirim dari shoppe semua datang sesuai pesanan??????,positif,,,,
????????,positif,,,,
bagus,positif,,,,
"Belanja aman,nyaman , tanpa ribet",positif,,,,
Nyaman,positif,,,,
Pengiriman di aplikasi shopee sangat lambat,negatif,,,,
dia lelet kalo di buka itu suka ngelag maaf biasanya ada kurangg,negatif,,,,
"Lemot banget setelah di update, eror. Muter2 gak jelas. Tolong diperbaiki lagi",negatif,,,,
mantap jiwa,positif,,,,
Belanja online jadi gampang & vocher gratis ongkirnya oke,positif,,,,
Good,positif,,,,
sangat memuaskan,positif,,,,
ok,positif,,,,
Mantap,positif,,,,
mantap,positif,,,,
Josss beli apa ajh ada,positif,,,,
Oke lah,positif,,,,
good,positif,,,,
aplikasi bagus,positif,,,,
sangat cocok,positif,,,,
"Ini kenapa bayar shoopee pinjam separuh dulu, tapi nominal pembayaranya tetap tidak berubah, kebiasaan aplikasinya gini terus, klo bayar seoaro dulu, ngga diperbaiki perbaiki",negatif,,,,
"Shopee live dengan slogan "" MENDADAK SULTAN "" GAK COCOK!!! . Reward hanya 10 perak per menit, dan akun pun sekarang dibatasi untuk mendapatkan reward, semakin hari semakin gak adil, kerasa bener perbedaan pengguna lama dan barunya ??????",negatif,,,,
"ngak tapai,ongghu ngak tapai",negatif,,,,
Gak pesen barang apa apa di shopee tiba tiba ada kurir nganterin paket cod di rumah aneh masa bisa ckout sendir,negatif,,,,
IKLAN NYA KEBANYAK TOLOLLL!!! DI YOUTUBE KEBANYAKAN IKLANN GOBLOKKKK,negatif,,,,
bagus,positif,,,,
Banyak banget diskon/voucher Shopeenya,positif,,,,
Gk bakal lagi gw belanja di apk ini lgi kapok banget gw,negatif,,,,
keren,positif,,,,
Bagus,positif,,,,
??,positif,,,,
Guwelakne,negatif,,,,
Biar bintang yang bicara dulu,positif,,,,
Terimakasih kasih shopee saran sedikit saja spy bisa men download video di shopee lebih mudah untuk keperluan promo,positif,,,,
Sangat memuaskan,positif,,,,
banyak kejutannya,positif,,,,
Senang dengan shopee,positif,,,,
Jos markojos,positif,,,,
semoga terus baik layanannya,positif,,,,
Flashsale hoax,positif,,,,
Banyak promo ya,positif,,,,
bagus,positif,,,,
"sering banyak event promo sih, tapi tiap jam promo nya pasti aplikasinya lemot hahaha produk 1 rupiah belom ada 1 menit udah habis gabisa di checkout, tapi setelah dicek lagi ternyata habisnya dalam kurun waktu 5 menit ????",negatif,,,,
Tidak kompetitif,negatif,,,,
Sinyal saya padahal bagus tapi lemot e gimana mau menang war flash sale kalau gini min payah,negatif,,,,
Ok,positif,,,,
"Kenapa sih shopee ini,, udh mulai eror shopeelatter saya kenapa pilihan bayar nanti atau bayar bulan depan jadi gak ada? Padahal saya bayar selalu tepat waktu..!!! Kadang buat pikiran jadi males mau apa2 pake shopee lagi kalo begini!!",negatif,,,,
Tambah lelet setiap bln mesti update Padahal ini tu toko online cukup bagus Sangat sayang kn??,negatif,,,,
Min cara daftar agen shopee express bagai mana,positif,,,,
Barang ya bagus,positif,,,,
pokoknya Shopee best,positif,,,,
"Gembel, gak pernah telat bayar tapi gak bisa Upgrade spaya later",negatif,,,,
3 dulu so pelayanan para selernya kurang memuaskan. Dan aplikasinya sangat lamban terlalu banyak konten yg ga jelas,negatif,,,,
"Bagus,tapi kenapa sya pake spinjaman ia",positif,,,,
terbaik,positif,,,,
Sangat rekomended bgttttttttttt,positif,,,,
Tolong di perbaiki lelet banget ??,negatif,,,,
Seneng banget belanja di sini pelayanan sangat baik dan cepat,positif,,,,
Lelet,negatif,,,,
"Ini tentang voucher gratis ongkir 0 rupiah. Tiba tiba pas mau check out nambah lagi tuh ongkir nya ke semula se akan voucher nya gk kepake padahal udh dipake, ini nge bug atau gimana toko oren?",negatif,,,,
Memuaskan,positif,,,,
"Pengirimannya cepet bgt deh, tp aplikasi kek berat gitu jadi yh bintang 4 dulu",positif,,,,
ok,positif ,,,,
sangat baik,positif ,,,,
Ok,positif ,,,,
Good,positif,,,,
"Kebanyakan biaya2, koin shopee ga bs dibuat belanja, cuma buat motong harga. Ga tulus.",negatif,,,,
mantap,positif,,,,
Mantap sangat puas,positif,,,,
Oke,positif,,,,
"Makin kesini makin gak suka sama shopee, telat bayar tagihan saja sampe akun dibatasi gak bisa belanja lagi, semua akses bahkan bikin akun baru juga tetep gak bisa dipake buat belanja lagi, shopee parah ancur??????",negatif,,,,
Udah diupdate tpi mlah lemot,negatif,,,,
sangat membantu,positif,,,,
Nokomen.,negatif ,,,,
"Parah promo belum usai sudah berubah, cuma iklan doang",negatif ,,,,
"Sekarang klo mau liat ulasan orang lain ga muncul variasinya, kan saya jadi ragu mau beli",negatif,,,,
bagus banget,positif,,,,
